recording,ETC,bandwidth,max_scale,fluctuation,mean_entropy
Recording_01,23.73515625,10.51796875,34.146875,6.303489434620371,0.012611421750882012
Recording_02,23.75,10.5046875,33.80546875,6.2155752021238815,0.012884779442345473
Recording_03,23.68359375,10.4515625,34.26484375,6.3721576228690315,0.013382048554717724
Recording_04,24.14921875,10.56640625,31.8828125,5.986358896780109,0.018074639379393374
Recording_05,24.07890625,10.690625,31.50078125,5.872743180928415,0.015929078743836
Recording_06,23.79375,10.57421875,33.02578125,6.1460109596285735,0.013726075095640246
Recording_07,24.0984375,10.62578125,32.584375,6.006002147329289,0.016324157197250565
Recording_08,24.28359375,10.6515625,32.61796875,6.289579998586737,0.01961213714214332
Recording_09,23.73359375,10.46328125,33.2046875,6.101016147103124,0.012759370204929024
Recording_10,23.83125,10.4421875,33.42421875,6.241740332534145,0.015967502752303082
Recording_11,23.83984375,10.54453125,33.07421875,5.993273688542077,0.013708459156954844
Recording_12,23.753125,10.37890625,34.19453125,6.226519915176631,0.013738909582776163
Recording_13,24.0390625,10.59765625,32.8921875,6.175939469536083,0.01663317582735778
Recording_14,23.915625,10.58671875,32.1484375,5.864378545460046,0.014863046066896562
Recording_15,24.00625,10.4734375,32.9328125,6.027217766171949,0.015979667653100965
Recording_16,23.9953125,10.321875,34.259375,6.374708631902503,0.017283107344172256
Recording_17,24.26171875,10.4484375,33.1109375,6.155353025548016,0.01880666996759904
Recording_18,24.00625,10.5203125,34.184375,6.2377579232406895,0.016534600688567876
Recording_19,23.73515625,10.4015625,33.88359375,6.29686520570174,0.012449483236578436
Recording_20,23.8921875,10.4875,33.48046875,6.15468899768878,0.01587285347959278
Recording_21,24.2109375,10.4734375,31.85703125,5.9610022994475695,0.018066938090136556
Recording_22,23.87734375,10.47578125,33.24765625,6.173286341655574,0.015868950240062747
Recording_23,23.94140625,10.48125,33.28515625,6.164276294908209,0.013446342085142848
Recording_24,23.92421875,10.3875,33.81484375,6.310282853132874,0.015371101691898235
Recording_25,24.090625,10.4296875,33.1171875,6.07979436887536,0.01712242776427544
Recording_26,23.94609375,10.35859375,32.75859375,6.032536180380827,0.016061228556684803
Recording_27,23.70234375,10.29765625,34.23046875,6.213456652215541,0.01207979194316434
Recording_28,23.91484375,10.346875,34.8796875,6.547125630760076,0.014610118069304517
Recording_29,23.80234375,10.41484375,34.4703125,6.3202732015932375,0.012905075450742393
Recording_30,24.05078125,10.36796875,33.79296875,6.144149601914753,0.016482027439789333
