recording,ETC,bandwidth,max_scale,fluctuation,mean_entropy
Recording_01,27.3875,10.9078125,17.71875,3.4771784506125156,0.12543165642912582
Recording_02,27.4390625,10.878125,18.42109375,3.6022079598287733,0.13110078458946237
Recording_03,26.90625,11.08984375,18.67890625,3.709829987804002,0.11083956044633383
Recording_04,26.96484375,11.08359375,18.8421875,3.6402254291384617,0.11415036346560521
Recording_05,27.3734375,11.05078125,17.79609375,3.439456484359451,0.12144905974061712
Recording_06,27.6640625,10.8765625,17.53359375,3.431024424423218,0.13605256679069663
Recording_07,27.71796875,10.8640625,17.06015625,3.2959817813862555,0.13960397756075518
Recording_08,27.3390625,10.99765625,17.89296875,3.513318855273681,0.12796557289307
Recording_09,27.13359375,11.08984375,18.428125,3.6068035059522914,0.1142030742246026
Recording_10,27.0203125,11.00703125,18.94453125,3.6760108118748405,0.11395168902761943
Recording_11,27.25546875,10.98125,19.5375,3.836245480021186,0.11415673578294876
Recording_12,27.15,11.1109375,18.2515625,3.6114048509531975,0.11577991062176521
Recording_13,27.29609375,10.9765625,17.784375,3.4849251177396683,0.12675066961859227
Recording_14,27.05859375,11.14921875,18.4921875,3.5737950518438604,0.11041407943922747
Recording_15,27.365625,11.0046875,18.3046875,3.549174126702984,0.11803843248527705
Recording_16,27.61953125,10.859375,17.8796875,3.5271989946469935,0.12893592313228985
Recording_17,27.77578125,10.90078125,17.61328125,3.4890250176892588,0.1357998253383413
Recording_18,27.34765625,10.8625,18.24453125,3.590232469977162,0.12425820827301504
Recording_19,27.16796875,10.90390625,18.6265625,3.616576914122966,0.11341938339461766
Recording_20,27.690625,10.7890625,17.80859375,3.4651475062886616,0.1335054939515679
Recording_21,27.37109375,10.96171875,18.45703125,3.614454284633259,0.12542421339156368
Recording_22,27.1828125,10.9953125,19.303125,3.867513707690905,0.11594713925091327
Recording_23,27.2890625,11.0,18.34375,3.653220950120545,0.11747148487646156
Recording_24,27.1484375,10.903125,19.15859375,3.747015772553413,0.11630043092147943
Recording_25,27.02109375,11.2328125,18.9171875,3.693931742251729,0.10912114870351548
Recording_26,27.34296875,11.0796875,18.15546875,3.5617280736343124,0.11847280665430622
Recording_27,27.9109375,10.74453125,17.35234375,3.397379596813395,0.1413919011453308
Recording_28,27.3921875,11.0046875,18.39140625,3.5758330743529,0.11853149051375415
Recording_29,27.6125,10.76640625,18.684375,3.6386417423430637,0.13220889853398973
Recording_30,27.7609375,10.9265625,17.5734375,3.461739446698413,0.12716656893215522
