recording,ETC,bandwidth,max_scale,fluctuation,mean_entropy
Recording_01,25.72265625,11.4875,21.42578125,4.246195040868149,0.07178252216571832
Recording_02,26.93203125,11.1828125,19.084375,3.664666775727268,0.10981426334066861
Recording_03,25.81328125,11.38203125,21.8109375,4.212745170799024,0.06887253614459084
Recording_04,25.80546875,11.39765625,21.121875,4.163075255534159,0.07760501492012314
Recording_05,26.15,11.3484375,20.93125,4.132235910836754,0.08379971682840906
Recording_06,25.8265625,11.4453125,21.3546875,4.177028127874091,0.07445934499600537
Recording_07,26.09609375,11.3234375,20.69296875,4.110364913804892,0.08382265448853612
Recording_08,25.953125,11.36875,21.76328125,4.262753054693358,0.07723842567835289
Recording_09,26.21328125,11.3109375,20.65390625,4.015290510637775,0.08480194039626891
Recording_10,25.9671875,11.35,21.84765625,4.220060153932266,0.08010684508501235
Recording_11,26.7,11.325,19.51484375,3.852429495318168,0.09938878179717275
Recording_12,25.825,11.38671875,21.103125,4.182889611850085,0.07752949766561781
Recording_13,26.5671875,11.3625,20.496875,3.930835929791152,0.09061027466018562
Recording_14,25.78515625,11.3921875,21.6640625,4.210090114012778,0.06697000299053127
Recording_15,26.4375,11.30625,20.71796875,4.125522881550279,0.09588915618253165
Recording_16,25.88359375,11.4625,20.90390625,4.028844027260555,0.07398101240773258
Recording_17,25.78046875,11.4046875,21.70390625,4.200657664186374,0.0693228911239798
Recording_18,25.93828125,11.259375,21.96640625,4.2160697589008125,0.06542140898385473
Recording_19,25.8140625,11.39296875,21.91484375,4.201346882881837,0.06794836058401402
Recording_20,26.04453125,11.43359375,21.24140625,4.144214370693557,0.07560148063180458
Recording_21,26.021875,11.284375,20.65234375,4.032748934533974,0.07954670331299175
Recording_22,25.59375,11.45,21.51796875,4.235293041774672,0.06954387012813142
Recording_23,25.90859375,11.371875,20.94765625,4.059804865675581,0.07687395226217235
Recording_24,25.590625,11.52109375,22.10703125,4.364917326562831,0.0653622319409084
Recording_25,25.66796875,11.4953125,21.0515625,4.042978917539641,0.06737570159751315
Recording_26,25.78359375,11.40390625,21.1578125,4.118338336690433,0.06759932476609902
Recording_27,26.08671875,11.42734375,20.1265625,3.8973782072577285,0.0816345045079914
Recording_28,25.62578125,11.2453125,22.03203125,4.307682227314194,0.06657844569726269
Recording_29,25.9171875,11.45546875,20.23671875,3.877215611827458,0.07315575555659865
Recording_30,25.453125,11.39921875,22.61875,4.489062899954433,0.05848499247586596
